cetnost,jmeno,vocativ,sex,id,jmeno_ascii
311,Yulia,Yulio,F,441,yulia
310,Edeltraud,Edeltraud,F,442,edeltraud
310,Tatjana,Tatjano,F,443,tatjana
308,Claudia,Claudio,F,444,claudia
308,Jasmína,Jasmíno,F,445,jasm'ina
308,Matilda,Matildo,F,446,matilda
308,Sylvia,Sylvio,F,447,sylvia
305,Yana,Yano,F,448,yana
304,Gisela,Giselo,F,449,gisela
303,Žofia,Žofio,F,450,zofia
300,Květuška,Květuško,F,451,kvetuska
298,Petruše,Petruše,F,452,petruse
297,Inge,Inge,F,453,inge
296,Charlotte,Charlotte,F,454,charlotte
295,Hanička,Haničko,F,455,hanicka
295,Jadwiga,Jadwigo,F,456,jadwiga
293,Agata,Agato,F,457,agata
293,Elvíra,Elvíro,F,458,elv'ira
291,Olesya,Olesyo,F,459,olesya
288,Gita,Gito,F,460,gita
282,Danica,Danico,F,461,danica
282,Vera,Vero,F,462,vera
281,Elisabeth,Elisabeth,F,463,elisabeth
281,Hoa,Hoa,F,464,hoa
281,Jesika,Jesiko,F,465,jesika
280,Margarita,Margarito,F,466,margarita
280,Štefania,Štefanio,F,467,stefania
277,Paulína,Paulíno,F,468,paul'ina
277,Rebeka,Rebeko,F,469,rebeka
275,Edith,Edith,F,470,edith
273,Alica,Alico,F,471,alica
272,Luisa,Luiso,F,472,luisa
271,Jenifer,Jenifer,F,473,jenifer
271,Lidie,Lidie,F,474,lidie
270,Silva,Silvo,F,475,silva
268,Liudmyla,Liudmylo,F,476,liudmyla
266,Melánie,Melánie,F,477,mel'anie
264,Johanna,Johanno,F,478,johanna
262,Michelle,Michelle,F,479,michelle
262,Ursula,Ursulo,F,480,ursula
261,Světluška,Světluško,F,481,svetluska
254,Khrystyna,Khrystyno,F,482,khrystyna
252,Doubravka,Doubravko,F,483,doubravka
252,Josefina,Josefino,F,484,josefina
251,Viktória,Viktório,F,485,vikt'oria
249,Lan,Lan,F,486,lan
248,Maruška,Maruško,F,487,maruska
247,Hang,Hang,F,488,hang
247,Sara,Saro,F,489,sara
246,Antonina,Antonino,F,490,antonina
246,Regína,Regíno,F,491,reg'ina
245,Štefanie,Štefanie,F,492,stefanie
244,Waltraud,Waltraud,F,493,waltraud
242,Evžena,Evženo,F,494,evzena
242,Jolanta,Jolanto,F,495,jolanta
239,Elfrída,Elfrído,F,496,elfr'ida
239,Hannelore,Hannelore,F,497,hannelore
238,Slavěna,Slavěno,F,498,slavena
237,Aleksandra,Aleksandro,F,499,aleksandra
237,Elfrieda,Elfriedo,F,500,elfrieda
237,Natali,Natali,F,501,natali
237,Petruška,Petruško,F,502,petruska
235,Nga,Ngo,F,503,nga
233,Gerlinda,Gerlindo,F,504,gerlinda
233,Stefanie,Stefanie,F,505,stefanie
232,Christina,Christino,F,506,christina
231,Libuša,Libušo,F,507,libusa
229,Klaudia,Klaudio,F,508,klaudia
229,Lydia,Lydio,F,509,lydia
229,Věruška,Věruško,F,510,veruska
228,Huyen,Huyen,F,511,huyen
225,Samanta,Samanto,F,512,samanta
223,Adriána,Adriáno,F,513,adri'ana
223,Sophie,Sophie,F,514,sophie
222,Hien,Hien,F,515,hien
219,Leopoldina,Leopoldino,F,516,leopoldina
219,Viléma,Vilémo,F,517,vil'ema
218,Ewa,Ewo,F,518,ewa
218,Lívia,Lívio,F,519,l'ivia
217,Yaroslava,Yaroslavo,F,520,yaroslava
216,Zorka,Zorko,F,521,zorka
215,Maruše,Maruše,F,522,maruse
213,Antónia,António,F,523,ant'onia
213,Linh,Linh,F,524,linh
212,Dagmara,Dagmaro,F,525,dagmara
212,Patricia,Patricio,F,526,patricia
211,Adina,Adino,F,527,adina
210,Zhanna,Zhanno,F,528,zhanna
208,Ľubomíra,Ľubomíro,F,529,lubom'ira
208,Vita,Vito,F,530,vita
207,Paulina,Paulino,F,531,paulina
206,Pamela,Pamelo,F,532,pamela
206,Rozalie,Rozalie,F,533,rozalie
205,Claudie,Claudie,F,534,claudie
205,Evelina,Evelino,F,535,evelina
204,Ráchel,Ráchel,F,536,r'achel
202,Anastasie,Anastasie,F,537,anastasie
201,Ludvika,Ludviko,F,538,ludvika
200,Malvína,Malvíno,F,539,malv'ina
199,Mia,Mio,F,540,mia
198,Urszula,Urszulo,F,541,urszula
196,Raisa,Raiso,F,542,raisa
194,Adriena,Adrieno,F,543,adriena
194,Drahuška,Drahuško,F,544,drahuska
194,Edeltrauda,Edeltraudo,F,545,edeltrauda
194,Irmgard,Irmgard,F,546,irmgard
194,Zinaida,Zinaido,F,547,zinaida
193,Leontina,Leontino,F,548,leontina
191,Nathalie,Nathalie,F,549,nathalie
190,Nadiia,Nadiio,F,550,nadiia
190,Thu,Thu,F,551,thu
189,Rosemarie,Rosemarie,F,552,rosemarie
188,Anastázia,Anastázio,F,553,anast'azia
188,Brigitta,Brigitto,F,554,brigitta
188,Caroline,Caroline,F,555,caroline
188,Dung,Dung,F,556,dung
188,Henrieta,Henrieto,F,557,henrieta
187,Blahoslava,Blahoslavo,F,558,blahoslava
187,Hildegard,Hildegard,F,559,hildegard
187,Mai,Mai,F,560,mai
186,Ljubov,Ljubov,F,561,ljubov
184,Emanuela,Emanuelo,F,562,emanuela
182,Rut,Rut,F,563,rut
182,Van,Van,F,564,van
181,Thao,Thao,F,565,thao
180,Oluše,Oluše,F,566,oluse
179,Paula,Paulo,F,567,paula
177,Rozalia,Rozalio,F,568,rozalia
176,Jenovefa,Jenovefo,F,569,jenovefa
175,Augustina,Augustino,F,570,augustina
174,Christa,Christo,F,571,christa
174,Melisa,Meliso,F,572,melisa
173,Eleni,Eleni,F,573,eleni
173,Joanna,Joanno,F,574,joanna
172,Elzbieta,Elzbieto,F,575,elzbieta
172,Gražyna,Gražyno,F,576,grazyna
172,Katarzyna,Katarzyno,F,577,katarzyna
171,Edeltruda,Edeltrudo,F,578,edeltruda
171,Janette,Janette,F,579,janette
170,Petronila,Petronilo,F,580,petronila
169,Ilsa,Ilso,F,581,ilsa
169,Nadezda,Nadezdo,F,582,nadezda
